year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c56cc809633,ca,22.0,28170.0,gray,black,financial services remarketing (lease),35100.0,47000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c53cc613637,ca,33.0,14769.0,gray,black,financial services remarketing (lease),39800.0,34750.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72964,ca,42.0,34780.0,black,tan,financial services remarketing (lease),47000.0,47000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c58ce728833,ca,37.0,35711.0,blue,beige,walters auto sales/service inc,27700.0,25500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c54cc964089,ca,37.0,48424.0,black,black,financial services remarketing (lease),42300.0,43000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f23ca027165,ca,44.0,19669.0,black,gray,ahfc/honda lease trust/hvt  inc. eot,19850.0,21600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c56cdw24474,ca,48.0,19782.0,gray,—,financial services remarketing (lease),32000.0,31000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c53cc576943,ca,36.0,32509.0,white,black,financial services remarketing (lease),40000.0,40000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c50cc963182,ca,37.0,31762.0,black,black,financial services remarketing (lease),45000.0,45000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i xDrive,Sedan,automatic,wbaxh5c54cdw07718,ca,21.0,29808.0,black,black,financial services remarketing (lease),30500.0,26500.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2012,Audi,S4,Premium Plus quattro,Sedan,automatic,waukgafl7ca117999,ca,28.0,13044.0,black,black,fratelli investment group,37800.0,35250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,A7,Premium quattro,Sedan,automatic,wauygafc0cn087585,ca,33.0,36671.0,black,black,south bay hyundai,39300.0,40500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,automatic,wbakg7c52ce802266,ca,45.0,37632.0,gray,tan,financial services remarketing (lease),30200.0,32000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcdw24820,ca,48.0,27979.0,gray,black,financial services remarketing (lease),33100.0,34750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c58cdw24170,ca,43.0,22371.0,black,black,financial services remarketing (lease),34300.0,34750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdx03875,ca,41.0,32960.0,white,tan,financial services remarketing (lease),31000.0,29250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c59cc618669,ca,41.0,46534.0,white,black,financial services remarketing (lease),42300.0,41500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c59cf259549,ca,45.0,29157.0,brown,black,financial services remarketing (lease),24600.0,24750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdx02654,ca,44.0,24506.0,blue,—,financial services remarketing (lease),33800.0,33000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,automatic,waulfafr6ca037394,ca,38.0,32737.0,white,black,porsche of downtown la,25000.0,26500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdw24139,ca,42.0,43112.0,gray,black,financial services remarketing (lease),28900.0,29000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdw24979,ca,44.0,53230.0,white,—,financial services remarketing (lease),25500.0,25750.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f26ca035583,ca,37.0,21443.0,silver,black,ahfc/honda lease trust/hvt  inc.,19700.0,20900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c57cdw24497,ca,43.0,27181.0,black,black,financial services remarketing (lease),33300.0,34750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,automatic,wbakg7c50ce802444,ca,45.0,23777.0,gray,—,financial services remarketing (lease),31800.0,33250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c59cc808346,ca,27.0,33760.0,gray,black,financial services remarketing (lease),34200.0,32750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c59cvh84475,ca,44.0,28509.0,blue,brown,financial services remarketing (lease),23300.0,22750.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f8xcc014175,ca,37.0,31595.0,white,black,ahfc/honda lease trust/hvt  inc. eot,18100.0,18900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c56ce729432,ca,48.0,14910.0,gray,gray,financial services remarketing (lease),30700.0,31500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c58ce728380,ca,42.0,31388.0,gray,black,financial services remarketing (lease),28300.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f87cc007412,ca,45.0,37284.0,red,black,ahfc/honda lease trust/hvt  inc. eot,17700.0,18400.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c54ccy37992,ca,49.0,53016.0,white,gray,financial services remarketing (lease),31300.0,34250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c56cc963431,ca,34.0,24739.0,white,gray,financial services remarketing (lease),47000.0,46750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce729732,ca,36.0,32456.0,blue,off-white,financial services remarketing (lease),27500.0,26750.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c52ce729136,ca,35.0,35000.0,silver,off-white,financial services remarketing (lease),27800.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Convertible,automatic,wbadx7c54ce744332,ca,43.0,37509.0,black,—,financial services remarketing (lease),29800.0,31500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c59cc448049,ca,48.0,39825.0,—,gray,financial services remarketing (lease),58100.0,58500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c59cds99963,ca,39.0,36156.0,blue,gray,financial services remarketing (lease),34800.0,35500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c59cdl72460,ca,38.0,22845.0,white,—,financial services remarketing (lease),50000.0,52500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc575577,ca,39.0,24576.0,black,black,financial services remarketing (lease),41800.0,40500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca004980,ca,42.0,32354.0,black,beige,ahfc/honda lease trust/hvt  inc. eot,18900.0,20300.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c58cc962863,ca,49.0,35093.0,blue,tan,financial services remarketing (lease),45200.0,44500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c58cc618677,ca,41.0,51983.0,black,—,financial services remarketing (lease),41400.0,40000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f48cc010509,ca,42.0,36621.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,16800.0,18200.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Coupe,manual,wbaup9c54cvf46588,ca,29.0,37168.0,blue,gray,financial services remarketing (lease),18100.0,18000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc576244,ca,36.0,18602.0,white,gray,financial services remarketing (lease),43200.0,42000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,,5j8tb2h54ca000490,ca,4.0,35348.0,gray,beige,ahfc/honda lease trust/hvt  inc. eot,22700.0,22000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c50ce784530,ca,35.0,25240.0,black,black,financial services remarketing (lease),42000.0,42500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c5xcfj88779,ca,44.0,19411.0,gray,—,financial services remarketing (lease),26600.0,27250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,550i,Sedan,automatic,wbafr9c5xcdv58413,ca,47.0,38066.0,black,black,financial services remarketing (lease),40200.0,42500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl71784,ca,4.0,28606.0,gray,black,financial services remarketing (lease),48600.0,49500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c54ce755722,ca,47.0,26086.0,black,black,financial services remarketing (lease),22300.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c56cc964045,ca,49.0,17647.0,gray,black,financial services remarketing (lease),49000.0,49000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c56cc618502,ca,48.0,43505.0,gray,black,financial services remarketing (lease),43000.0,44500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i xDrive,Convertible,automatic,wbalz5c56cc619497,ca,33.0,32289.0,gray,black,financial services remarketing (lease),47000.0,48000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl70821,ca,44.0,53404.0,white,—,financial services remarketing (lease),43500.0,43500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72186,ca,45.0,21262.0,white,—,financial services remarketing (lease),50400.0,52250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c51ccy37982,ca,4.0,40183.0,gray,blue,financial services remarketing (lease),34000.0,35500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c57cvr00222,ca,35.0,24380.0,black,black,financial services remarketing (lease),24100.0,35500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Coupe,S,Hatchback,manual,wmwsx3c58ct408212,ca,42.0,51347.0,gray,black,mckenna audi/mckenna bmw,13700.0,13750.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,automatic,waulfafr6ca006081,ca,41.0,33856.0,white,black,aaero sweet company,24700.0,27000.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcc594269,ca,34.0,31616.0,gray,—,financial services remarketing (lease),29700.0,28000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,,wba3c1c50ca696789,ca,2.0,25355.0,white,beige,gm financial,25300.0,14750.0,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdw85315,ca,42.0,30445.0,black,black,financial services remarketing (lease),29900.0,28500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c56ce784810,ca,47.0,20850.0,—,black,financial services remarketing (lease),42800.0,43500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c52cds99120,ca,46.0,46943.0,white,black,financial services remarketing (lease),33900.0,33000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,manual,wbakg7c55ce263223,ca,42.0,27312.0,gray,gray,financial services remarketing (lease),31300.0,33000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c53ce729632,ca,49.0,33355.0,gray,black,financial services remarketing (lease),28000.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c52cc807958,ca,43.0,34966.0,white,black,the car exchange,34000.0,32500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c5xcf346666,ca,41.0,36617.0,black,black,financial services remarketing (lease),23900.0,23500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72740,ca,44.0,25060.0,white,—,financial services remarketing (lease),49400.0,51500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c54cvh84268,ca,46.0,15311.0,white,—,financial services remarketing (lease),25000.0,25000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,manual,wbakg7c55ce263156,ca,47.0,16827.0,black,beige,financial services remarketing (lease),32600.0,34750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c52cdl70551,ca,49.0,11868.0,gray,—,financial services remarketing (lease),49200.0,47000.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c59ccy37616,ca,35.0,42482.0,black,black,financial services remarketing (lease),33500.0,33000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl70649,ca,36.0,35458.0,black,black,financial services remarketing (lease),45100.0,44250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c5xce784602,ca,42.0,35920.0,silver,black,high bid trading co inc,40000.0,41000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c55cc576684,ca,44.0,30313.0,black,gray,financial services remarketing (lease),40500.0,40000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f82cc009116,ca,39.0,43807.0,black,black,ahfc/honda lease trust/hvt  inc. eot,17300.0,17900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f59ca015354,ca,47.0,50229.0,black,black,ahfc/honda lease trust/hvt  inc. eot,19700.0,20500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c50cc964249,ca,4.0,33155.0,gray,gray,financial services remarketing (lease),46100.0,45500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c57cc808572,ca,39.0,38866.0,gray,black,financial services remarketing (lease),33700.0,34000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c58ce755738,ca,28.0,20163.0,black,black,financial services remarketing (lease),23000.0,20000.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,automatic,5j8tb2h51ca002472,ca,37.0,30901.0,white,gray,lexus of thousand oaks,23200.0,22500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,,wbalz3c53cdl72437,ca,46.0,42686.0,gray,black,financial services remarketing (lease),43300.0,41100.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f47cc007861,ca,42.0,13424.0,black,beige,ahfc/honda lease trust/hvt  inc. eot,17950.0,19600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c50cc808946,ca,38.0,52387.0,gray,black,financial services remarketing (lease),31300.0,32500.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755978,ca,27.0,18057.0,white,black,financial services remarketing (lease),23000.0,22250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728676,ca,28.0,13661.0,black,—,financial services remarketing (lease),29400.0,28250.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca015137,ca,24.0,35604.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,18700.0,16800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c59ce728503,ca,49.0,27272.0,gray,tan,financial services remarketing (lease),28900.0,31750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c58cc965083,ca,46.0,30917.0,gray,gray,financial services remarketing (lease),45200.0,46000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl72602,ca,49.0,26704.0,silver,tan,financial services remarketing (lease),48700.0,49250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c58cc808323,ca,46.0,41539.0,white,black,financial services remarketing (lease),32800.0,36750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,ZDX,Technology Package,Hatchback,automatic,2hnyb1h40ch500373,ca,36.0,33680.0,black,black,ahfc/honda lease trust/hvt  inc. eot,28200.0,26600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c51ce728303,ca,29.0,37032.0,black,black,financial services remarketing (lease),26300.0,25000.0,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c54cf341740,ca,48.0,23936.0,white,—,financial services remarketing (lease),26900.0,28000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfaflxcn004222,ca,38.0,15193.0,black,black,high bid trading co inc,22900.0,24250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c54cvh84416,ca,43.0,33965.0,blue,—,financial services remarketing (lease),23200.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f80cc007347,ca,41.0,30406.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,18150.0,19100.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c50cc808722,ca,44.0,54898.0,white,tan,financial services remarketing (lease),30600.0,31000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdy30327,ca,35.0,62345.0,gray,black,walters auto sales/service inc,26000.0,24750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335is,Convertible,automatic,wbadx1c57ce570754,ca,36.0,48143.0,black,black,financial services remarketing (lease),33800.0,33000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c59cdx05260,ca,38.0,35294.0,white,tan,l m auto wholesale,31600.0,28000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl73387,ca,34.0,44520.0,black,black,financial services remarketing (lease),40900.0,40500.0,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdx03584,ca,38.0,59814.0,white,black,financial services remarketing (lease),26500.0,28000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71009,ca,34.0,26807.0,black,—,financial services remarketing (lease),48700.0,47000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,waubgafc0cn029580,ca,36.0,13936.0,black,black,ars/executive car leasing co,33900.0,33100.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c50cc618639,ca,37.0,45540.0,blue,beige,high bid trading co inc,42800.0,40750.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f58ca025292,ca,34.0,28151.0,black,black,ahfc/honda lease trust/hvt  inc.,21900.0,21000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c5xce729224,ca,43.0,29297.0,white,black,financial services remarketing (lease),28600.0,30000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755835,ca,29.0,61573.0,white,—,financial services remarketing (lease),20000.0,19000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c51cc528390,ca,42.0,32341.0,gray,black,financial services remarketing (lease),43200.0,43500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c50cds99049,ca,41.0,17676.0,blue,black,financial services remarketing (lease),38200.0,36500.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f49cc003956,ca,19.0,27906.0,gray,gray,ag leaseplan,17150.0,14000.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f64cc008869,ca,33.0,10225.0,white,tan,ahfc/honda lease trust/hvt  inc. eot,20500.0,19400.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,R8,4.2 quattro,Coupe,automatic,wuaauafg1cn002532,ca,39.0,11740.0,gray,black,the hertz corporation,91000.0,91000.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c57cf340727,ca,47.0,44099.0,white,—,financial services remarketing (lease),23300.0,23250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake3c53ce769664,ca,4.0,36013.0,black,black,financial services remarketing (lease),21900.0,21000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f44cc006621,ca,45.0,23568.0,white,gray,ahfc/honda lease trust/hvt  inc. eot,17450.0,19100.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c53ce755730,ca,44.0,47581.0,white,off-white,financial services remarketing (lease),20900.0,21250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c51cds99397,ca,46.0,46766.0,black,black,financial services remarketing (lease),34000.0,33750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c5xcc964159,ca,39.0,29564.0,white,black,financial services remarketing (lease),45600.0,47000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcdw92356,ca,42.0,50727.0,white,black,high bid trading co inc,28400.0,26750.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,wauggafc6cn169316,ca,42.0,44002.0,black,black,trade in solutions irvine,28400.0,30000.0,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c51cf256869,ca,28.0,54355.0,gray,black,walters auto sales/service inc,22000.0,22000.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl70302,ca,34.0,44067.0,black,—,financial services remarketing (lease),43000.0,42250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c53cc963094,ca,47.0,32267.0,blue,gray,financial services remarketing (lease),45700.0,45000.0,Thu Jan 15 2015 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c52cc962471,ca,41.0,53746.0,black,black,financial services remarketing (lease),38800.0,39500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728595,ca,43.0,26425.0,blue,brown,financial services remarketing (lease),29000.0,29000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h34ch534405,ca,47.0,36533.0,brown,beige,desert auto trade,29300.0,30750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakc8c50cc435719,ca,24.0,27709.0,—,black,bmw of bakersfield,41800.0,33750.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c52cl721643,ca,37.0,37120.0,black,red,l m auto wholesale,27700.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
